15.37584476723249_100.1612115932029_300_2013-09_9_Road;unicycle, monocycle;0.0959668;go-kart;0.0716278;mountain bike, all-terrain bike, off-roader;0.0599199;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.0547113;tricycle, trike, velocipede;0.0303155
15.38751870577555_100.1493634707693_300_2013-07_9_Tree;mountain bike, all-terrain bike, off-roader;0.0299399;jeep, landrover;0.0102477;limousine, limo;0.00980818;unicycle, monocycle;0.00971302;tricycle, trike, velocipede;0.0096173
15.38388817595722_100.1508809213915_300_2016-10_10_Sky;tennis ball;0.221494;racket, racquet;0.0525393;ping-pong ball;0.0293031;drumstick;0.018061;unicycle, monocycle;0.0161986
15.37809720628202_100.1690164998281_240_2013-09_15_Road;tick;0.0629192;grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus;0.0336222;spaghetti squash;0.0330811;acorn squash;0.0251055;fireboat;0.0205447
15.38916610781019_100.1488056605767_60_2013-07_9_Road;aircraft carrier, carrier, flattop, attack aircraft carrier;0.0619489;go-kart;0.0545127;tennis ball;0.035581;limousine, limo;0.0312078;unicycle, monocycle;0.0258813
15.38441221924678_100.1633232679042_300_2013-09_13_Road;mountain bike, all-terrain bike, off-roader;0.0877579;gazelle;0.0305677;warthog;0.0264667;red wolf, maned wolf, Canis rufus, Canis niger;0.0216269;skunk, polecat, wood pussy;0.0210606
15.38751870577555_100.1493634707693_0_2013-07_13_Pavement;crate;0.0632871;nail;0.033177;scabbard;0.0233133;broom;0.0209848;plane, carpenter's plane, woodworking plane;0.0189776
15.38651052044144_100.1499913964046_240_2016-10_14_Road;broom;0.0141934;kelpie;0.0113958;seashore, coast, seacoast, sea-coast;0.0104788;tennis ball;0.00980614;sandbar, sand bar;0.00943616
15.37621782009939_100.1614686409597_300_2013-09_14_Road;redshank, Tringa totanus;0.0968644;red-breasted merganser, Mergus serrator;0.0627967;water ouzel, dipper;0.0530129;red-backed sandpiper, dunlin, Erolia alpina;0.0384948;American coot, marsh hen, mud hen, water hen, Fulica americana;0.0359309
15.38958265644966_100.148935375637_300_2016-10_15_Road;thatch, thatched roof;0.462004;broom;0.308556;hair slide;0.00688192;bobsled, bobsleigh, bob;0.00385307;mosquito net;0.00335942
15.38751870577555_100.1493634707693_60_2013-07_6_Road;go-kart;0.552128;racer, race car, racing car;0.183381;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.0506717;sports car, sport car;0.0237132;tow truck, tow car, wrecker;0.0232433
15.38203756895384_100.1636399994293_180_2013-09_6_Road;tractor;0.185583;horse cart, horse-cart;0.148484;oxcart;0.126839;harvester, reaper;0.0300382;plow, plough;0.0239252
15.39113096956538_100.1624124510919_240_2013-09_12_Pavement;tench, Tinca tinca;0.0273308;mountain bike, all-terrain bike, off-roader;0.0219002;valley, vale;0.0216173;EntleBucher;0.0177369;worm fence, snake fence, snake-rail fence, Virginia fence;0.0172272
15.39928395532343_100.1592367782867_120_2013-09_13_Road;hyena, hyaena;0.17667;meerkat, mierkat;0.146479;snow leopard, ounce, Panthera uncia;0.0411481;lynx, catamount;0.0377762;English setter;0.0331689
15.39870636769855_100.1598328028387_180_2013-09_12_Pedestrian;mountain bike, all-terrain bike, off-roader;0.0298198;wood rabbit, cottontail, cottontail rabbit;0.0245609;skunk, polecat, wood pussy;0.0206658;maze, labyrinth;0.0155752;tench, Tinca tinca;0.0153904
15.38536687768504_100.1632045994446_300_2013-09_11_Road;seashore, coast, seacoast, sea-coast;0.0908656;racer, race car, racing car;0.0598374;snowplow, snowplough;0.03348;horse cart, horse-cart;0.0286831;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.0173483
15.38475951611483_100.1503020496336_0_2013-07_5_Tree;valley, vale;0.380663;lakeside, lakeshore;0.112595;mountain bike, all-terrain bike, off-roader;0.0875004;alp;0.0783009;promontory, headland, head, foreland;0.0266888
15.3870401730215_100.1495191087337_0_2013-07_9_Road;sandbar, sand bar;0.0771029;seashore, coast, seacoast, sea-coast;0.0623695;skunk, polecat, wood pussy;0.0184878;lakeside, lakeshore;0.0161131;unicycle, monocycle;0.0157672
15.4017574589887_100.156762063509_120_2013-09_8_Tree;valley, vale;0.132989;worm fence, snake fence, snake-rail fence, Virginia fence;0.0692505;promontory, headland, head, foreland;0.0670268;mountain bike, all-terrain bike, off-roader;0.0558258;lakeside, lakeshore;0.0427157
15.38080873887222_100.1516480750733_60_2013-07_16_Sky;sandbar, sand bar;0.11957;seashore, coast, seacoast, sea-coast;0.110003;dingo, warrigal, warragal, Canis dingo;0.0281779;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.0128171;kuvasz;0.0083886
15.38214245921093_100.1514744844401_0_2016-10_8_Tree;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.104576;harvester, reaper;0.0548947;hartebeest;0.0380901;warplane, military plane;0.030229;sports car, sport car;0.0299116
15.39407316563496_100.1620366648801_240_2013-09_12_Tree;valley, vale;0.0527324;mountain bike, all-terrain bike, off-roader;0.04369;worm fence, snake fence, snake-rail fence, Virginia fence;0.0329545;promontory, headland, head, foreland;0.0242792;maze, labyrinth;0.0225437
15.38536687768504_100.1632045994446_240_2013-09_9_Road;dam, dike, dyke;0.0193537;go-kart;0.0133206;French bulldog;0.0130499;snowplow, snowplough;0.0101634;Lhasa, Lhasa apso;0.00990652
15.3848916075261_100.1632634903036_0_2013-09_13_Road;mountain bike, all-terrain bike, off-roader;0.0650059;cliff, drop, drop-off;0.0537245;worm fence, snake fence, snake-rail fence, Virginia fence;0.0243862;dam, dike, dyke;0.0237196;valley, vale;0.0164663
15.38086663217014_100.151907544251_60_2016-10_13_Pavement;seashore, coast, seacoast, sea-coast;0.0568278;puck, hockey puck;0.0553391;handkerchief, hankie, hanky, hankey;0.0294044;sandbar, sand bar;0.0241897;broom;0.0201179
15.38789818775158_100.1492399294562_180_2013-07_11_Road;streetcar, tram, tramcar, trolley, trolley car;0.133345;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.0502258;trolleybus, trolley coach, trackless trolley;0.0430026;racer, race car, racing car;0.0249089;skunk, polecat, wood pussy;0.0239389
15.37584476723249_100.1612115932029_180_2013-09_11_Road;dam, dike, dyke;0.297982;vault;0.0583602;chime, bell, gong;0.048694;gong, tam-tam;0.0458636;water jug;0.022923
15.39576535135476_100.1618067615199_60_2013-09_5_SignSymbol;seashore, coast, seacoast, sea-coast;0.20634;sandbar, sand bar;0.0736056;worm fence, snake fence, snake-rail fence, Virginia fence;0.0509407;Arabian camel, dromedary, Camelus dromedarius;0.0405872;hartebeest;0.0224148
15.37831049920183_100.1672257386117_60_2013-09_13_Car;skunk, polecat, wood pussy;0.0927012;barracouta, snoek;0.0343718;porcupine, hedgehog;0.0321627;tench, Tinca tinca;0.0296398;beaver;0.02443
15.38207965704545_100.1512157151918_180_2013-07_8_Tree;lakeside, lakeshore;0.211036;valley, vale;0.152368;promontory, headland, head, foreland;0.0349481;worm fence, snake fence, snake-rail fence, Virginia fence;0.0283278;radio telescope, radio reflector;0.0248867
15.38667478914231_100.1630425804965_60_2013-09_14_Road;Indian cobra, Naja naja;0.0391285;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea;0.0297321;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;0.0184242;sidewinder, horned rattlesnake, Crotalus cerastes;0.0171871;shovel;0.0158702
15.38285994268672_100.1509504379165_120_2013-07_6_Road;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.202438;horse cart, horse-cart;0.087598;bicycle-built-for-two, tandem bicycle, tandem;0.0357323;unicycle, monocycle;0.0326286;car mirror;0.0312182
15.37814466476857_100.162777803804_300_2013-09_5_Tree;valley, vale;0.380885;alp;0.126839;cliff, drop, drop-off;0.0414355;lakeside, lakeshore;0.0243447;mountain bike, all-terrain bike, off-roader;0.0219983
15.38989981633274_100.1625801738505_60_2013-09_8_SignSymbol;radio telescope, radio reflector;0.11764;harvester, reaper;0.0618847;worm fence, snake fence, snake-rail fence, Virginia fence;0.034313;parachute, chute;0.0230522;airship, dirigible;0.0224585
15.38877604048507_100.1489413991554_180_2013-07_6_Pavement;garbage truck, dustcart;0.664073;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.106752;harvester, reaper;0.0101927;moving van;0.00732362;crane;0.00651451
15.38789818775158_100.1492399294562_300_2013-07_7_SignSymbol;seashore, coast, seacoast, sea-coast;0.136632;bicycle-built-for-two, tandem bicycle, tandem;0.0940362;lakeside, lakeshore;0.051235;steel arch bridge;0.0420211;unicycle, monocycle;0.0409778
15.38388817595722_100.1508809213915_120_2016-10_5_Tree;trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi;0.119022;horse cart, horse-cart;0.0514814;bicycle-built-for-two, tandem bicycle, tandem;0.0469116;worm fence, snake fence, snake-rail fence, Virginia fence;0.0399303;car mirror;0.0393495
15.38435896839772_100.1504391517015_0_2013-07_16_Road;aircraft carrier, carrier, flattop, attack aircraft carrier;0.0762207;washbasin, handbasin, washbowl, lavabo, wash-hand basin;0.023306;missile;0.013054;limousine, limo;0.010896;tray;0.00980895
15.40106727965174_100.1574273872954_0_2013-09_14_Road;gown;0.140223;hoopskirt, crinoline;0.124371;mosquito net;0.0426818;overskirt;0.03837;shower curtain;0.029789
15.37823310839093_100.1525290832726_60_2013-07_16_Road;seashore, coast, seacoast, sea-coast;0.0955452;sandbar, sand bar;0.073068;water snake;0.0687441;platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus;0.0426334;redshank, Tringa totanus;0.0339344
15.37697817454127_100.1619852477367_300_2013-09_9_Fence;dingo, warrigal, warragal, Canis dingo;0.0452087;African crocodile, Nile crocodile, Crocodylus niloticus;0.0351521;dhole, Cuon alpinus;0.0168483;water ouzel, dipper;0.0163928;beaver;0.0133464
15.38080873887222_100.1516480750733_240_2013-07_6_Tree;valley, vale;0.114763;lakeside, lakeshore;0.0492558;worm fence, snake fence, snake-rail fence, Virginia fence;0.0388128;solar dish, solar collector, solar furnace;0.0266901;mountain bike, all-terrain bike, off-roader;0.0207274
15.37988442508588_100.1519627544599_60_2013-07_10_Road;submarine, pigboat, sub, U-boat;0.0734278;tennis ball;0.050515;limousine, limo;0.0287992;aircraft carrier, carrier, flattop, attack aircraft carrier;0.0173728;space heater;0.0167079
15.37730217677138_100.162205385605_300_2013-09_7_Tree;tench, Tinca tinca;0.0523367;German short-haired pointer;0.0521475;armadillo;0.034878;barracouta, snoek;0.0300564;lakeside, lakeshore;0.0217538
15.39249593491882_100.1622406880539_120_2013-09_11_Road;mountain bike, all-terrain bike, off-roader;0.0271511;sandbar, sand bar;0.0160504;patio, terrace;0.0148002;kelpie;0.012974;seashore, coast, seacoast, sea-coast;0.010659
15.37942524726171_100.1521194190388_240_2013-07_7_SignSymbol;lakeside, lakeshore;0.116707;seashore, coast, seacoast, sea-coast;0.0632499;worm fence, snake fence, snake-rail fence, Virginia fence;0.0565711;hartebeest;0.0538917;promontory, headland, head, foreland;0.0524942
15.37776163256824_100.1526959133353_60_2013-07_5_Road;seashore, coast, seacoast, sea-coast;0.111083;racer, race car, racing car;0.0970372;trimaran;0.0647304;airliner;0.0637884;go-kart;0.0431506
15.38789818775158_100.1492399294562_60_2013-07_14_Road;tennis ball;0.0305825;night snake, Hypsiglena torquata;0.022394;mousetrap;0.0162277;nematode, nematode worm, roundworm;0.0139208;skunk, polecat, wood pussy;0.0121538
15.40204558852603_100.1564762206559_120_2013-09_8_Car;barn;0.367536;worm fence, snake fence, snake-rail fence, Virginia fence;0.0561394;thresher, thrasher, threshing machine;0.0503755;mobile home, manufactured home;0.0429253;harvester, reaper;0.0385305
15.38536687768504_100.1632045994446_120_2013-09_16_Road;nematode, nematode worm, roundworm;0.0866341;envelope;0.0416157;broom;0.0188119;tick;0.0174324;hoopskirt, crinoline;0.013138
15.37875590894665_100.1637294982522_240_2013-09_7_Car;mountain bike, all-terrain bike, off-roader;0.66996;unicycle, monocycle;0.0197431;bicycle-built-for-two, tandem bicycle, tandem;0.0183573;horse cart, horse-cart;0.0139272;lakeside, lakeshore;0.0136324
15.37914078794975_100.1524953552038_180_2016-10_16_Road;plastic bag;0.592912;broom;0.0139119;Maltese dog, Maltese terrier, Maltese;0.0106519;ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin;0.0100287;shower curtain;0.00864113
15.38520815314818_100.1504345870805_300_2016-10_9_Car;minivan;0.32628;beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon;0.266108;limousine, limo;0.16306;car wheel;0.0390589;convertible;0.0323769
15.37869984758432_100.164164002316_120_2013-09_10_Road;overskirt;0.178465;hoopskirt, crinoline;0.0919576;gown;0.0817295;cloak;0.0566605;poncho;0.0183862
15.37584476723249_100.1612115932029_60_2013-09_6_Pavement;volcano;0.231864;seashore, coast, seacoast, sea-coast;0.0700259;mountain bike, all-terrain bike, off-roader;0.0355716;worm fence, snake fence, snake-rail fence, Virginia fence;0.027667;valley, vale;0.0258511
15.37905203203129_100.1522475398446_120_2013-07_15_Road;geyser;0.0390471;Angora, Angora rabbit;0.0374665;bolo tie, bolo, bola tie, bola;0.0279809;tick;0.0209734;Arctic fox, white fox, Alopex lagopus;0.0157967
15.38520815314818_100.1504345870805_240_2016-10_13_Road;sea snake;0.073994;seashore, coast, seacoast, sea-coast;0.0561561;sandbar, sand bar;0.0453365;Indian cobra, Naja naja;0.0408177;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus;0.0357467
15.39289598448956_100.1621904183043_300_2013-09_13_Road;seashore, coast, seacoast, sea-coast;0.0368623;mountain bike, all-terrain bike, off-roader;0.0298963;sandbar, sand bar;0.0275639;African crocodile, Nile crocodile, Crocodylus niloticus;0.0179636;hippopotamus, hippo, river horse, Hippopotamus amphibius;0.0176094
15.38246777157937_100.1510837663819_120_2013-07_12_Road;ladle;0.271302;nematode, nematode worm, roundworm;0.0292646;quill, quill pen;0.022079;bolo tie, bolo, bola tie, bola;0.0194979;knot;0.0181167
15.39113096956538_100.1624124510919_180_2013-09_11_Road;mountain bike, all-terrain bike, off-roader;0.1136;worm fence, snake fence, snake-rail fence, Virginia fence;0.0515756;thatch, thatched roof;0.0476986;harvester, reaper;0.0222232;dam, dike, dyke;0.0192567
15.38723806158132_100.162963528896_60_2013-09_15_Road;jersey, T-shirt, tee shirt;0.0502964;velvet;0.0233384;shower curtain;0.015248;handkerchief, hankie, hanky, hankey;0.0148387;sandbar, sand bar;0.0141827
